content_type,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate
lyrical,750,155308963225,13056480.0,930853785,58746483,0.009517172188402466,0.0005484907761608691
instrumental,675,4993966708,808345.0,41773550,1392142,0.020890600760262997,0.0014208491858700664
