genre,video_count,total_views,median_views,avg_like_rate,avg_comment_rate,avg_engagement_rate,view_score,like_score,comment_score,engagement_score,genre_impact_score,supply_score,opportunity_score,opportunity_level,listening_behavior
city pop,25,336859634,807120.0,0.0195420215984689,0.000786661545623,0.0203286831440919,0.15570022613309717,0.5414020267912801,0.2674946661478355,0.5570517902762864,31.46197207149095,0.0,31.46197207149095,High Opportunity,Active Listening / High Engagement
devotional,25,1281137821,25030482.0,0.0068680063191902,0.0003348936126176,0.0072028999318079,0.3400033993111205,0.0,0.08842235594217923,0.0,17.068600087844008,0.0,17.068600087844008,Medium Opportunity,Background / Looping Consumption
edm,50,2664221823,4308091.0,0.0151688138404065,0.0006945299972935,0.0158633438377001,0.4410187055590537,0.3545896006089218,0.23097545352370613,0.367544984123285,37.00554067708743,20.235426006003443,16.770114671083988,Medium Opportunity,Mixed / Unclear
bossa nova,25,108977800,2499589.0,0.0106075437505217,0.0001118195654375,0.0107193633159593,0.0,0.15974362504476597,0.0,0.14923697823603538,5.485960408479503,0.0,5.485960408479503,Low Opportunity,Mixed / Unclear
jazz,275,1701836531,990044.0,0.0302776255154714,0.0004882239327071,0.0307658494481785,0.3791807779862872,1.0,0.14919961045057153,1.0,55.04712721839435,70.95171457280043,-15.904587354406075,Low Opportunity,Active Listening / High Engagement
lofi,300,1057546649,331835.5,0.0161955705541541,0.0026346436273294,0.0188302141814835,0.31354152140842817,0.3984500626326146,1.0,0.4934575037644334,49.00519506683897,73.55602785231733,-24.550832785478356,Low Opportunity,Mixed / Unclear
pop,725,153152349675,10241542.0,0.0087863951555223,0.0005244493033559,0.0093108444588783,1.0,0.08194874167952514,0.16355866592177792,0.08946013000646987,51.21449316048838,100.0,-48.78550683951162,Low Opportunity,Background / Looping Consumption
