genre,theme,subgenre,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate,avg_engagement_rate,view_score,like_score,comment_score,engagement_score,subgenre_impact_score,supply_score,confidence_score,raw_opportunity_score,market_opportunity_score,opportunity_level
jazz,romance,romance jazz,11,16345310,896828.0,243881,5616,0.38669560510593626,0.0024020409090748786,0.38909764601501123,0.5912795940329386,1.0,0.5027801474906936,1.0,71.6631846812961,31.27812274538974,0.38695932992595483,40.385061935906364,19.057083678364833,Experimental Candidate
lofi,cafe,cafe lofi,34,92452379,1806386.0,697975,20605,0.013064982270041681,0.0047775174120599905,0.017842499682101675,0.6694116495781344,0.021759231659958737,1.0,0.03385500818574531,51.00605510437247,49.964446686722056,0.5536526306309575,1.0416084176504157,14.129858419785897,Experimental Candidate
lofi,study,study lofi,105,434993488,177750.0,5174930,169092,0.01882051030831903,0.004538492200185572,0.023359002508504603,0.739241709575811,0.03682837167753168,0.949968740821113,0.04821101545110754,53.66807119378313,69.30800698411464,0.7262088767648729,-15.639935790331513,11.961967857449897,Experimental Candidate
edm,general,edm,40,2633239772,8572168.5,17865086,706696,0.013760865749574646,0.0006396302284258863,0.014400495978000532,0.8204348561668635,0.023581195781974675,0.13388339031716637,0.024897624905349143,40.435742477455044,52.72650819183625,0.5782918882229399,-12.290765714381209,11.054273478082868,Experimental Candidate
pop,study,study pop,28,3680495537,602348.0,16806693,603011,0.0048578935419332095,0.0001549373892321303,0.00501283093116534,0.8355328844670565,0.0002714084128101971,0.03243052319202824,0.00046740310393471546,38.259049506217714,46.6816841951542,0.5243684056079909,-8.422634688936483,10.696633495759698,Experimental Candidate
pop,party,party pop,15,2707817814,6176625.0,26725817,1119843,0.00841454315781352,0.00025348605723678257,0.008668029215050303,0.821694171878256,0.009583438638135763,0.053058112691939587,0.009979598560201372,38.37678193991572,36.30008876724176,0.43175830134693294,2.076693172673963,10.55475308535781,Experimental Candidate
devotional,general,devotional,23,1276871459,26015966.0,8090306,345149,0.0068169086108588375,0.00033548423609344047,0.007152392846952279,0.7877976873928689,0.005400507285033093,0.07022145753913327,0.006035344855132534,37.05069121413892,43.37815233447033,0.49489890526268804,-6.327461120331407,10.382378194602728,Experimental Candidate
pop,romance,romance pop,41,2651459906,2829500.0,21034036,1284276,0.00617021935263288,0.00018386926101824968,0.006354088613651129,0.820745781174317,0.003707343614339887,0.03848636125409078,0.0039578581332207815,37.835549549616786,53.14717078025719,0.5820444526956072,-15.311621230640405,10.317916805497665,Experimental Candidate
jazz,study,study jazz,31,216718105,921286.0,1525305,38231,0.014371516878895018,0.0004966551355000214,0.014868172014395038,0.7078250909279437,0.025180004320204286,0.10395674001026226,0.026114693179869218,34.82191093176652,48.40011835632235,0.5396978766836662,-13.578207424555835,9.697326435169929,Low Priority
city pop,general,city pop,18,94311859,753235.5,1597900,18301,0.019129478839062786,0.0007740178220789009,0.019903496661141686,0.6703095637283123,0.03763731397089509,0.16201255910130877,0.039218494534991113,34.73729934442252,39.30001901585632,0.4585194918623257,-4.562719671433804,9.668128379558954,Low Priority
pop,rain,rain pop,10,727074475,73594662.0,6020285,205693,0.009387153111032697,0.00044488026042465757,0.009832033371457357,0.7624050095895327,0.012129928807251781,0.093119547675878,0.013008773501671974,36.60395234024455,29.759195357831665,0.37340957982217754,6.844756982412882,9.600700344388537,Low Priority
jazz,sleep,sleep jazz,23,59238408,907470.0,727091,11453,0.018129116835505367,0.0003588863379695491,0.018488003173474918,0.6493404526088532,0.035018163303986265,0.07511983882331952,0.03553485012611706,31.953519727725617,43.37815233447033,0.49489890526268804,-11.424632606744712,8.95404419163295,Low Priority
jazz,cafe,cafe jazz,51,234187798,1431528.0,1853368,38985,0.010129950280353895,0.00024124605920353913,0.010371196339557435,0.7113208337202653,0.014074722486427075,0.05049611302191311,0.014411877557055204,33.51534661558143,56.875459671196836,0.6153030424087967,-23.360113055615408,8.893183562774864,Low Priority
pop,sleep,sleep pop,5,2068349550,295336219.0,10908682,242770,0.006172694238741497,0.00020235517455396258,0.006375049413295459,0.8095469337075359,0.0037138233682478304,0.042355716808724346,0.004012405987441318,37.40969599709422,19.17809315630915,0.27901975458922157,18.23160284078507,8.436226356690703,Low Priority
lofi,romance,romance lofi,9,82222094,420622.0,651521,12875,0.009834523943351898,0.0003372883954283107,0.010171812338780208,0.664123809978699,0.013301236403559477,0.07059909286293468,0.013893005682277014,31.76901427321191,28.09539865185461,0.3585675078613052,3.6736156213572997,8.190894936877472,Low Priority
bossa nova,general,bossa nova,10,43849107,1360774.0,315465,4842,0.015244692174511673,0.00013742175151510293,0.015382113926026777,0.6357762814345675,0.027466154383591217,0.02876425969023289,0.027452162596552247,30.146393343915506,29.759195357831665,0.37340957982217754,0.3871979860838408,7.906973713349236,Low Priority
lofi,general,lofi,132,403666101,375734.0,3714642,105870,0.014554553250109663,0.0010627664538212498,0.015617319703930913,0.7358714507924088,0.02565923067229543,0.2224516128687434,0.028064256157038774,38.485370871411035,73.26909663980436,0.7615441899687113,-34.783725768393325,7.834376179226699,Low Priority
lofi,sleep,sleep lofi,10,14457564,584209.0,163616,4085,0.01958698113139798,0.0004968250024062185,0.020083806133804196,0.585745843630059,0.03883514778487527,0.10399229548636962,0.039687727340812856,29.806164841110057,29.759195357831665,0.37340957982217754,0.04696948327839223,7.817736576504214,Low Priority
jazz,general,jazz,143,1141674014,1000264.0,14122244,349629,0.017343790982210866,0.0004714476164935808,0.017815238598704448,0.7827511919425283,0.03296202090245315,0.09868046012841217,0.033784064632623366,38.35930400886958,74.65627507986008,0.7739186598519097,-36.2969710709905,7.523786840103673,Low Priority
pop,summer,summer pop,7,61695904,1669933.0,478473,15259,0.005185260830829,0.00013395803007487027,0.0053192188609038705,0.6511732976217135,0.0011285223875377754,0.028039255228398983,0.00126473929386534,29.904443950172183,24.200059178161172,0.3238187260101997,5.704384772011011,7.340177427439415,Low Priority
